ID,Name,HP,Attack,Defense,Speed,Luck,Magic,Resistance,Agility
2259,Storm Necromancer Lord,65,17,15,18,69,48,25,19
2260,Holy Priest Elite,78,36,14,10,82,56,7,24
2261,Holy Assassin Queen,111,26,35,9,9,22,32,9
2262,Shadow Assassin Champion,131,11,9,6,58,23,11,22
2263,Earth Berserker Queen,77,10,31,8,83,27,7,9
2264,Storm Mage Champion,152,41,35,1,27,44,18,21
2265,Ice Priest Guardian,105,15,12,8,55,27,29,19
2266,Shadow Paladin Slayer,191,19,35,13,67,30,22,8
2267,Earth Ranger Slayer,151,24,17,8,53,10,20,12
2268,Wind Mage Champion,131,36,26,4,47,49,26,14
2269,Wind Mage Elite,189,43,27,4,60,10,5,7
2270,Dark Necromancer Slayer,147,28,35,1,17,51,28,6
2271,Storm Warrior Prince,57,37,12,1,48,57,28,15
2272,Ancient Mage Prince,140,26,23,14,35,30,20,11
2273,Storm Warrior Legend,167,10,11,7,45,41,31,19
2274,Storm Berserker Elite,107,41,39,19,56,36,7,12
2275,Storm Ranger Guardian,59,43,20,10,43,33,16,17
2276,Ancient Priest Prince,66,45,11,17,16,34,9,17
2277,Fire Priest Legend,131,11,30,15,37,52,34,9
2278,Ancient Assassin Elite,69,47,16,17,96,19,17,9
2279,Holy Priest Prince,177,36,7,15,69,28,23,8
2280,Holy Priest Master,62,22,18,15,67,15,20,17
2281,Wind Assassin Master,57,40,13,11,27,36,33,7
2282,Shadow Paladin Queen,199,17,7,13,58,18,23,18
2283,Earth Priest Queen,53,44,5,10,22,36,14,21
2284,Dark Paladin Elite,161,34,15,10,15,15,7,9
2285,Earth Berserker King,143,22,12,13,98,36,15,2
2286,Ancient Ranger Prince,133,39,18,10,77,25,18,24
2287,Dark Priest Guardian,191,28,20,8,6,10,20,16
2288,Fire Necromancer Champion,144,19,29,6,53,37,28,12
2289,Ancient Paladin Lord,75,12,24,3,63,26,27,23
2290,Earth Priest Champion,188,24,31,5,61,33,15,14
2291,Fire Priest Guardian,151,14,10,16,48,48,31,5
2292,Earth Assassin Legend,157,21,18,16,93,29,10,22
2293,Fire Archer King,169,22,17,11,30,56,14,4
2294,Ice Knight Slayer,125,25,21,19,82,52,34,2
2295,Ice Ranger King,197,36,21,17,81,36,33,10
2296,Ice Mage Queen,95,22,34,9,94,34,33,21
2297,Storm Warrior Prince,198,41,39,7,95,37,14,22
2298,Fire Paladin Queen,118,23,29,2,44,16,28,4
2299,Ancient Necromancer Prince,61,13,10,3,37,55,20,3
2300,Earth Knight King,114,36,29,17,47,38,17,2
2301,Storm Paladin Guardian,171,44,22,15,88,12,29,2
2302,Fire Necromancer Guardian,109,38,36,4,82,19,17,10
2303,Light Mage Master,69,46,5,8,55,42,11,19
2304,Ancient Knight Champion,111,21,15,12,59,11,18,7
2305,Storm Warrior Queen,170,20,39,19,27,47,11,17
2306,Dark Priest Prince,153,39,26,15,51,34,10,21
2307,Storm Ranger Lord,139,21,26,18,21,39,16,23
2308,Shadow Priest Elite,155,13,31,8,55,29,18,14
2309,Fire Archer Lord,179,33,24,1,85,35,33,2
2310,Wind Assassin Prince,134,36,29,8,36,37,23,7
2311,Dark Priest Legend,140,11,22,19,13,57,28,10
2312,Ancient Priest Legend,100,27,5,7,20,47,31,24
2313,Shadow Ranger Guardian,74,31,8,14,17,11,32,23
2314,Ancient Warrior Slayer,181,49,23,10,87,29,5,8
2315,Fire Assassin Elite,135,23,14,7,99,27,31,11
2316,Dark Berserker Master,194,44,39,17,43,48,27,12
2317,Dark Assassin Legend,142,32,6,16,69,53,19,24
2318,Earth Priest Lord,72,48,31,9,80,12,22,2
2319,Earth Ranger Elite,161,10,28,10,97,57,12,14
2320,Holy Knight Prince,145,38,29,7,17,42,34,23
2321,Light Warrior Prince,161,38,5,3,99,58,26,22
2322,Ancient Ranger Elite,129,42,5,4,18,54,20,18
2323,Ancient Paladin Legend,139,22,6,14,48,53,32,2
2324,Wind Berserker Elite,73,20,37,10,83,58,13,21
2325,Shadow Archer Slayer,137,17,36,6,99,33,8,11
2326,Ice Necromancer Champion,175,14,29,3,27,34,29,24
2327,Shadow Warrior King,118,35,30,5,67,12,21,11
2328,Light Ranger Guardian,176,39,34,16,18,54,18,24
2329,Light Mage Master,93,27,33,16,72,44,28,1
2330,Shadow Archer Guardian,77,39,13,11,75,50,6,21
2331,Ancient Paladin Elite,79,21,38,6,44,25,33,13
2332,Ancient Paladin Lord,99,24,15,8,86,26,30,16
2333,Dark Ranger King,78,32,9,12,60,16,24,23
2334,Ice Mage King,83,19,23,17,46,22,19,2
2335,Ice Archer Champion,196,25,36,5,34,57,26,24
2336,Fire Priest Lord,174,13,19,3,85,45,29,22
2337,Dark Knight Elite,190,15,7,17,3,53,23,5
2338,Dark Assassin Master,99,33,30,14,35,49,26,5
2339,Ice Paladin Champion,52,26,20,9,31,30,28,7
2340,Storm Mage Queen,188,28,31,4,47,56,30,10
2341,Light Assassin Slayer,158,40,34,9,17,27,5,5
2342,Shadow Necromancer Lord,62,14,28,8,59,38,11,10
2343,Holy Necromancer Legend,174,36,14,18,15,26,28,9
2344,Ancient Priest Queen,88,37,29,12,87,22,17,6
2345,Fire Archer Prince,147,25,27,11,5,26,13,5
2346,Holy Priest Champion,163,47,11,4,23,20,26,10
2347,Storm Ranger Guardian,147,44,39,14,98,44,33,24
2348,Earth Priest Slayer,89,10,35,6,61,23,18,3
2349,Holy Paladin Champion,111,46,31,9,70,10,11,13
2350,Shadow Paladin Guardian,193,39,32,11,32,27,22,6
2351,Holy Necromancer Lord,56,36,11,6,94,39,17,23
2352,Ice Warrior Legend,167,27,6,19,57,58,33,19
2353,Ancient Berserker Elite,135,11,10,10,6,57,8,12
2354,Earth Ranger Legend,69,45,8,5,41,13,23,3
2355,Ancient Archer Guardian,51,47,16,10,36,48,23,7
2356,Dark Ranger Guardian,55,13,9,3,44,36,19,21
2357,Shadow Knight Elite,179,22,10,17,32,38,31,4
2358,Shadow Priest Slayer,183,11,12,4,55,40,14,21
2359,Fire Paladin Elite,117,43,5,3,27,41,7,16
2360,Dark Knight King,194,13,5,7,49,32,6,10
2361,Shadow Ranger Elite,93,18,8,18,27,59,30,13
2362,Ancient Necromancer Lord,170,44,16,17,21,25,12,2
2363,Fire Assassin Queen,133,13,9,3,22,15,30,20
2364,Shadow Ranger Master,103,32,33,1,33,27,8,19
2365,Earth Archer King,154,21,10,1,63,22,27,4
2366,Shadow Priest Guardian,177,35,5,16,13,48,27,16
2367,Light Necromancer Queen,144,30,31,1,18,59,32,23
2368,Storm Ranger Lord,82,25,34,1,21,33,23,3
2369,Holy Ranger Guardian,156,38,10,1,50,21,15,1
2370,Shadow Necromancer King,86,36,27,5,59,14,27,6
2371,Shadow Necromancer Champion,143,27,27,19,12,37,13,2
2372,Dark Mage Prince,198,42,6,17,16,34,25,15
2373,Storm Ranger Lord,179,15,11,8,95,54,20,8
2374,Earth Ranger Guardian,178,13,30,8,52,15,28,19
2375,Shadow Paladin Lord,149,36,34,4,70,56,13,14
2376,Fire Assassin Elite,103,32,22,16,74,39,16,13
2377,Holy Priest Guardian,97,47,38,4,78,58,21,21
2378,Wind Necromancer Queen,146,29,23,11,76,19,23,2
2379,Ancient Priest Lord,176,39,10,17,72,28,10,10
2380,Ice Necromancer Slayer,197,23,35,5,54,17,14,24
2381,Storm Berserker Master,181,46,5,6,21,51,10,22
2382,Wind Assassin Master,60,14,13,19,89,22,10,16
2383,Fire Priest Prince,190,29,11,13,53,42,18,18
2384,Ancient Necromancer Prince,159,44,13,17,45,18,15,5
2385,Ice Mage Lord,175,21,32,19,54,22,6,20
2386,Holy Archer Guardian,101,49,23,2,55,25,20,11
2387,Ancient Knight Master,122,24,18,15,4,50,5,8
2388,Dark Warrior King,146,36,36,17,53,15,11,17
2389,Light Mage King,69,30,13,7,35,40,5,17
2390,Ancient Mage Legend,152,41,19,12,78,20,12,19
2391,Storm Warrior Prince,194,23,35,4,66,48,17,6
2392,Fire Warrior Elite,71,19,35,10,70,32,17,7
2393,Storm Necromancer Lord,153,48,8,10,92,26,5,11
2394,Storm Priest Lord,132,31,36,9,16,57,12,6
2395,Holy Paladin Legend,147,36,10,14,28,35,28,9
2396,Light Priest Prince,155,36,36,2,19,52,8,6
2397,Shadow Priest Queen,179,37,16,12,25,25,18,1
2398,Light Mage Prince,165,22,20,7,20,12,20,16
2399,Dark Archer Slayer,192,43,13,11,7,48,17,4
2400,Storm Ranger King,75,41,21,8,67,22,19,22
2401,Light Archer Queen,80,45,25,13,86,42,6,18
2402,Light Knight Lord,67,39,22,7,69,21,25,15
2403,Dark Priest Guardian,106,16,28,17,80,28,12,4
2404,Light Warrior Prince,129,35,17,19,43,54,27,2
2405,Holy Priest Elite,192,36,29,17,31,38,12,5
2406,Earth Warrior Champion,131,30,20,19,1,52,25,11
2407,Dark Warrior Lord,142,18,35,1,72,50,29,21
2408,Ancient Paladin Master,101,18,5,3,91,13,25,22
2409,Ancient Knight Queen,155,13,34,11,47,54,31,10
2410,Ice Knight Legend,160,11,22,1,31,51,18,10
2411,Wind Warrior Master,113,16,13,19,85,57,23,19
2412,Light Warrior Champion,81,30,32,3,18,27,32,24
2413,Earth Archer Slayer,110,28,38,13,88,47,30,11
2414,Earth Priest King,138,36,29,6,51,11,33,19
2415,Earth Mage Legend,181,43,38,5,16,42,8,12
2416,Wind Knight Champion,155,40,31,1,19,12,30,22
2417,Holy Knight Lord,177,47,8,9,87,51,31,1
2418,Holy Berserker Guardian,124,33,9,14,64,39,10,8
2419,Dark Paladin Legend,166,48,37,11,50,52,31,22
2420,Wind Archer Prince,140,49,6,3,70,49,13,15
2421,Wind Assassin Master,63,20,11,17,49,30,13,17
2422,Storm Mage Queen,178,15,9,10,32,26,5,4
2423,Shadow Ranger King,191,49,9,13,50,54,17,2
2424,Storm Warrior Prince,139,45,28,8,61,28,18,16
2425,Ancient Paladin King,68,15,36,1,18,33,32,15
2426,Earth Priest King,162,22,11,15,83,55,16,8
2427,Ice Berserker Queen,103,31,14,17,94,46,24,17
2428,Fire Ranger Prince,134,44,39,15,50,45,33,4
2429,Shadow Assassin Legend,93,15,17,4,85,36,21,7
2430,Wind Archer Slayer,150,41,17,15,33,35,11,23
2431,Shadow Mage Queen,72,40,16,15,8,30,24,9
2432,Fire Berserker Elite,105,20,9,10,76,53,8,4
2433,Ancient Warrior King,168,17,12,8,76,29,17,23
2434,Ancient Priest Champion,168,49,25,17,10,32,9,15
2435,Ice Necromancer Master,145,26,8,12,84,47,15,20
2436,Wind Mage Queen,175,48,9,11,66,42,12,23
2437,Ice Priest Prince,134,28,10,18,89,48,25,1
2438,Ice Berserker King,146,32,33,7,16,37,25,14
2439,Light Paladin Guardian,100,15,26,14,56,49,19,9
2440,Ice Priest Prince,68,43,26,9,94,52,22,4
2441,Wind Berserker Champion,120,22,24,14,34,34,26,7
2442,Holy Knight Slayer,181,15,5,6,17,20,31,13
2443,Dark Mage Champion,63,27,38,14,70,40,29,1
2444,Ancient Necromancer Elite,128,36,15,4,82,32,34,16
2445,Light Berserker Master,101,48,22,9,67,44,15,7
2446,Light Priest Guardian,143,19,9,15,64,49,8,11
2447,Holy Archer Champion,178,34,17,19,99,29,17,13
2448,Ice Necromancer Master,183,13,39,5,27,56,8,16
2449,Holy Paladin Queen,177,11,7,1,6,50,10,13
2450,Wind Ranger Legend,128,14,35,2,71,44,34,21
2451,Wind Warrior Slayer,117,23,6,15,43,36,10,9
2452,Dark Assassin Master,109,40,15,17,97,26,23,9
2453,Shadow Mage King,196,32,35,7,19,21,17,17
2454,Shadow Necromancer King,66,33,30,19,28,28,25,9
2455,Ice Berserker Queen,110,38,9,15,81,46,24,6
2456,Fire Mage Prince,66,24,21,18,10,26,33,23
2457,Storm Priest Master,54,35,29,4,98,12,12,17
2458,Earth Paladin Slayer,130,16,10,4,42,30,25,1
2459,Wind Priest Lord,126,29,17,10,39,23,14,10
2460,Storm Mage Legend,89,37,21,2,65,47,23,24
2461,Wind Priest Champion,111,43,15,14,89,55,20,6
2462,Storm Paladin Prince,168,15,12,16,46,42,34,9
2463,Dark Mage Guardian,138,46,21,14,36,48,33,10
2464,Wind Ranger Slayer,141,13,23,5,65,29,17,21
2465,Light Priest Master,155,45,16,16,84,24,33,1
2466,Fire Knight Slayer,171,19,18,5,16,37,27,7
2467,Dark Necromancer Slayer,62,31,10,6,23,10,22,23
2468,Fire Ranger Elite,110,18,25,8,53,56,24,12
2469,Wind Assassin King,183,20,15,16,39,21,30,3
2470,Ancient Assassin Lord,199,42,33,13,58,12,33,10
2471,Ice Warrior Champion,169,43,11,14,76,11,30,16
2472,Earth Archer Lord,157,35,35,19,40,41,15,2
2473,Light Ranger Prince,78,18,31,12,85,26,22,13
2474,Fire Warrior King,56,28,21,13,70,33,29,7
2475,Fire Ranger Elite,162,13,10,16,62,42,14,2
2476,Fire Paladin Legend,91,35,39,18,18,19,20,1
2477,Dark Ranger Lord,102,33,19,10,75,55,32,6
2478,Shadow Assassin Guardian,77,28,28,8,6,45,33,6
2479,Fire Berserker Prince,58,17,33,13,78,24,24,19
2480,Fire Paladin Master,126,39,25,8,13,55,16,4
2481,Dark Ranger Prince,140,28,23,5,75,16,28,3
2482,Shadow Priest Guardian,166,31,12,13,10,16,23,15
2483,Dark Mage Legend,51,48,36,17,66,39,6,20
2484,Dark Assassin Slayer,131,33,17,3,52,36,20,24
2485,Light Ranger Guardian,180,48,6,4,46,50,12,13
2486,Storm Berserker Queen,150,27,24,7,91,33,11,2
2487,Ancient Knight Master,57,49,26,6,95,40,7,2
2488,Light Ranger Elite,104,13,37,16,49,16,11,14
2489,Earth Ranger Elite,70,46,37,11,18,40,6,19
2490,Light Paladin Lord,152,46,6,11,17,53,24,11
2491,Ice Assassin Prince,136,13,22,8,12,58,7,21
2492,Storm Berserker Lord,198,44,29,8,38,32,19,1
2493,Ice Berserker King,60,25,5,15,92,57,15,22
2494,Light Assassin Guardian,135,23,34,2,77,35,7,17
2495,Fire Archer Guardian,108,47,11,17,79,34,10,24
2496,Ice Warrior Legend,85,10,8,8,36,12,8,12
2497,Earth Assassin Champion,107,21,17,11,30,43,33,24
2498,Wind Archer Master,119,10,8,11,6,18,31,18
2499,Light Necromancer Prince,143,14,33,19,39,17,5,14
2500,Shadow Priest Master,128,31,36,10,25,19,21,24
2501,Ice Archer Guardian,65,31,7,6,80,59,33,15
2502,Shadow Archer Champion,170,36,13,14,30,23,29,23
2503,Dark Knight Prince,99,29,23,13,54,55,25,5
2504,Light Priest Lord,189,10,14,18,10,26,5,15
2505,Fire Berserker Legend,146,39,13,6,52,54,12,5
2506,Storm Mage King,135,18,26,15,16,32,6,22
2507,Wind Necromancer King,126,39,13,9,39,19,19,23
2508,Storm Warrior Champion,110,43,32,8,25,29,29,23
2509,Ancient Necromancer Master,134,27,6,6,33,18,21,14
2510,Ice Necromancer Legend,89,19,23,2,8,34,7,17
2511,Earth Priest King,157,42,31,19,76,20,24,2
2512,Holy Ranger Queen,98,16,32,8,7,52,14,9
2513,Ancient Priest Champion,110,33,24,17,20,25,14,21
2514,Ice Knight Guardian,84,38,13,11,37,30,15,22
2515,Fire Mage Master,177,46,17,6,68,31,11,10
2516,Light Priest Slayer,174,26,11,8,89,10,15,19
2517,Shadow Assassin Elite,152,47,7,3,52,34,31,24
2518,Ancient Archer Slayer,86,39,27,10,93,42,31,15
2519,Ancient Mage Master,123,45,34,8,95,36,15,14
2520,Storm Mage Slayer,170,19,19,4,52,55,27,12
2521,Light Assassin Queen,65,16,20,15,37,13,25,21
2522,Fire Assassin Legend,137,28,11,7,14,36,16,16
2523,Storm Berserker Prince,126,47,19,3,74,15,34,21
2524,Storm Ranger Guardian,50,41,28,18,20,17,13,22
2525,Wind Ranger King,178,35,38,19,20,48,11,4
2526,Earth Necromancer Champion,136,36,23,7,26,26,22,22
2527,Ice Ranger Elite,188,27,19,13,22,26,11,10
2528,Earth Necromancer Guardian,78,12,31,3,74,56,11,16
2529,Fire Archer Slayer,78,18,5,8,85,55,33,8
2530,Holy Knight Queen,163,39,22,12,54,37,31,23
2531,Light Archer Champion,184,28,20,11,11,39,24,17
2532,Holy Assassin Champion,79,20,12,13,82,33,14,11
2533,Fire Mage Lord,163,22,6,13,15,28,24,19
2534,Ice Warrior Queen,100,22,24,19,28,49,15,16
2535,Dark Priest Legend,185,31,13,8,90,46,17,15
2536,Wind Necromancer Slayer,139,38,9,11,47,32,13,1
2537,Ancient Warrior Champion,163,46,36,2,86,19,20,3
2538,Earth Warrior Slayer,172,26,22,8,76,33,32,9
2539,Holy Archer Queen,145,38,34,16,74,26,32,10
2540,Ancient Assassin Legend,56,40,16,10,81,53,11,3
2541,Earth Knight Guardian,176,45,30,1,10,44,28,3
2542,Wind Mage Guardian,93,21,11,5,6,32,10,5
2543,Light Necromancer Lord,186,24,30,1,26,43,6,3
2544,Wind Priest Master,192,44,38,2,72,21,11,15
2545,Shadow Paladin Slayer,111,29,6,7,56,50,28,22
2546,Ice Warrior Slayer,135,49,17,6,5,31,8,2
2547,Earth Assassin Master,69,23,15,6,95,46,33,24
2548,Earth Necromancer Prince,75,48,13,19,92,15,12,9
2549,Holy Warrior Master,81,21,39,15,44,19,28,11
2550,Holy Mage King,95,24,30,1,28,52,6,23
2551,Storm Knight Slayer,53,42,18,1,6,34,5,21
2552,Light Priest Elite,199,14,5,7,22,24,28,5
2553,Light Warrior Queen,175,36,36,6,90,51,16,8
2554,Holy Priest Slayer,117,20,10,7,41,16,13,11
2555,Ancient Ranger Slayer,85,24,25,1,95,42,27,5
2556,Fire Mage Guardian,138,49,30,3,79,39,11,12
2557,Shadow Berserker Prince,80,36,30,4,88,54,24,22
2558,Holy Warrior Guardian,62,26,23,13,89,53,27,14
2559,Wind Archer Guardian,165,37,11,12,28,26,26,6
2560,Storm Ranger Elite,156,16,37,6,79,47,30,13
2561,Ice Archer Guardian,194,45,16,12,12,44,15,18
2562,Ice Necromancer King,126,46,6,19,28,40,14,5
2563,Storm Assassin Slayer,199,38,18,15,61,13,34,18
2564,Dark Paladin Queen,68,38,15,6,69,20,5,22
2565,Holy Assassin Master,110,35,5,5,81,33,12,5
2566,Light Berserker Lord,77,45,26,4,38,13,12,19
2567,Wind Paladin Prince,65,41,16,14,1,56,8,4
2568,Wind Priest King,181,22,31,14,39,23,19,12
2569,Shadow Priest Slayer,186,31,18,13,49,51,33,16
2570,Dark Paladin King,183,31,13,18,12,33,14,3
2571,Ancient Necromancer Guardian,172,10,16,9,65,44,34,7
2572,Light Paladin Legend,109,44,32,6,35,31,13,6
2573,Ancient Assassin Guardian,128,26,12,10,48,17,5,4
2574,Holy Assassin Slayer,91,38,17,7,5,19,12,16
2575,Holy Assassin Prince,185,15,17,3,81,16,31,20
2576,Holy Necromancer Master,74,30,36,5,17,20,30,6
2577,Ancient Ranger Prince,150,33,7,18,1,29,7,24
2578,Ice Berserker Master,192,30,7,3,37,26,32,7
2579,Ancient Priest Champion,65,32,35,9,80,11,5,20
2580,Earth Assassin Guardian,103,28,31,1,86,16,19,18
2581,Holy Assassin Prince,198,32,18,4,5,52,20,8
2582,Wind Ranger Legend,176,29,22,2,56,39,6,23
2583,Earth Necromancer Slayer,89,16,26,7,32,33,28,20
2584,Fire Berserker King,132,32,15,2,65,58,10,8
2585,Light Berserker Champion,108,35,14,11,78,38,31,17
2586,Shadow Ranger Prince,82,21,13,11,69,36,5,14
2587,Shadow Priest Lord,122,47,38,15,50,57,7,19
2588,Fire Paladin Master,110,40,39,2,78,44,11,22
2589,Earth Paladin Prince,198,23,5,16,10,24,24,7
2590,Wind Berserker King,66,15,16,12,1,12,33,15
2591,Dark Assassin Champion,57,45,21,11,62,47,15,9
2592,Ancient Ranger Prince,193,47,25,15,69,52,28,3
2593,Ancient Necromancer Prince,56,35,34,14,19,44,9,24
2594,Ancient Priest Elite,71,21,9,7,52,43,32,23
2595,Ice Priest Queen,137,17,18,19,24,28,8,20
2596,Ancient Assassin Champion,123,43,33,15,88,38,24,5
2597,Dark Ranger Legend,188,42,15,12,35,26,8,5
2598,Dark Priest Elite,133,12,27,7,19,32,28,21
2599,Light Priest Prince,89,42,15,10,77,49,15,7
2600,Light Knight Guardian,146,20,25,14,61,10,28,17
2601,Holy Knight King,116,21,31,2,54,28,11,10
2602,Light Berserker Queen,99,31,22,7,84,37,15,21
2603,Holy Knight Guardian,187,26,18,15,49,51,28,2
2604,Storm Berserker Lord,191,24,5,15,67,21,34,2
2605,Holy Mage Legend,85,47,6,4,28,18,11,9
2606,Ancient Assassin Legend,168,24,16,14,79,54,16,15
2607,Dark Mage Slayer,54,33,9,7,10,54,8,21
2608,Wind Assassin Prince,189,17,21,14,29,38,22,21
2609,Dark Berserker Champion,195,32,27,8,97,32,7,17
2610,Light Necromancer Champion,124,45,20,2,95,14,15,6
2611,Dark Berserker Queen,87,27,10,5,8,39,29,1
2612,Fire Necromancer Elite,78,35,24,13,69,55,24,19
2613,Dark Archer Guardian,62,37,24,6,22,40,20,13
2614,Shadow Priest Master,123,22,12,5,72,28,19,21
2615,Dark Priest Champion,112,38,33,10,29,29,17,14
2616,Fire Priest Lord,144,23,21,14,80,29,11,13
2617,Holy Warrior Prince,50,15,13,9,44,19,13,7
2618,Light Warrior Elite,80,21,34,9,71,26,8,3
2619,Fire Mage Guardian,92,37,35,15,4,38,8,16
2620,Earth Paladin Champion,177,38,28,5,84,57,12,7
2621,Ancient Archer Master,136,15,11,16,35,43,31,10
2622,Wind Berserker Queen,102,44,24,11,66,17,26,5
2623,Earth Knight King,103,27,9,15,46,34,9,21
2624,Ancient Warrior King,73,14,30,12,20,20,18,19
2625,Light Warrior Master,114,24,33,14,27,25,7,14
2626,Shadow Berserker Slayer,90,41,31,14,57,20,17,7
2627,Holy Priest King,199,37,20,16,7,57,20,18
2628,Holy Mage Lord,75,49,32,19,77,20,30,18
2629,Storm Mage Guardian,114,43,38,16,50,41,11,9
2630,Ancient Mage Guardian,60,24,9,5,43,21,9,1
2631,Dark Ranger Prince,197,34,31,18,62,31,10,10
2632,Dark Warrior Lord,98,20,26,17,24,32,31,12
2633,Ice Mage Master,133,47,19,16,54,49,23,15
2634,Ice Necromancer Champion,174,44,16,2,59,10,28,5
2635,Earth Necromancer Prince,177,11,34,12,54,59,25,4
2636,Earth Knight Queen,172,12,34,10,78,54,17,19
2637,Storm Priest Lord,125,27,31,11,18,53,30,17
2638,Fire Priest Master,195,13,18,19,92,22,23,22
2639,Fire Archer Queen,103,11,14,5,10,21,31,19
2640,Holy Assassin Elite,137,31,19,17,98,50,29,8
2641,Shadow Warrior Legend,143,13,31,3,80,58,10,4
2642,Earth Mage Elite,57,13,30,6,94,48,23,20
2643,Storm Paladin Slayer,186,29,34,11,8,23,29,2
2644,Ancient Archer King,109,26,11,9,98,31,32,15
2645,Earth Ranger Champion,136,29,16,3,70,53,6,17
2646,Dark Priest Lord,179,17,14,6,23,54,32,9
2647,Storm Mage Slayer,150,37,15,2,48,49,10,22
2648,Shadow Warrior Legend,56,46,17,5,96,37,33,1
2649,Fire Mage Champion,72,32,5,4,72,19,6,17
2650,Light Archer Guardian,176,42,27,16,61,29,13,12
2651,Light Priest Lord,185,15,17,18,98,56,15,10
2652,Storm Ranger Guardian,172,31,31,2,28,13,34,21
2653,Light Paladin Slayer,101,12,23,12,16,57,21,19
2654,Holy Ranger Lord,192,35,35,17,80,20,8,9
2655,Holy Paladin Champion,82,49,8,1,54,15,11,12
2656,Ice Knight Queen,79,41,15,8,37,48,17,21
2657,Wind Necromancer Champion,129,33,9,4,43,23,28,18
2658,Shadow Ranger Legend,121,43,23,10,11,30,17,14
2659,Fire Knight Legend,124,28,7,11,43,52,15,23
2660,Ancient Necromancer Champion,110,28,22,18,34,44,33,18
2661,Wind Knight Prince,79,22,20,16,86,43,5,11
2662,Light Berserker Queen,130,13,28,3,87,51,32,10
2663,Ancient Ranger Elite,137,27,7,1,19,13,27,15
2664,Earth Berserker Guardian,187,20,31,3,60,59,25,23
2665,Storm Paladin Lord,191,47,19,5,22,50,8,20
2666,Fire Knight Slayer,71,39,39,15,85,33,33,17
2667,Earth Necromancer Champion,187,17,19,7,75,21,33,17
2668,Ancient Archer King,97,30,9,12,92,52,32,13
2669,Holy Archer Lord,79,14,5,3,84,16,11,24
2670,Holy Warrior Lord,67,10,13,16,86,13,31,21
2671,Earth Archer Queen,169,26,22,12,26,37,8,19
2672,Dark Mage Prince,148,49,15,7,62,29,29,12
2673,Dark Assassin Lord,56,25,9,7,9,59,30,15
2674,Shadow Berserker Legend,163,22,25,13,22,53,24,21
2675,Ancient Necromancer Master,135,24,13,11,52,32,19,1
2676,Dark Mage Elite,130,25,8,10,90,32,8,22
2677,Ice Mage Legend,150,18,39,14,98,18,33,21
2678,Light Knight Lord,189,42,31,2,55,32,17,4
2679,Shadow Assassin Champion,161,41,12,11,72,58,10,18
2680,Dark Assassin Legend,149,37,6,11,79,33,14,3
2681,Fire Necromancer Guardian,87,27,15,15,80,55,25,12
2682,Fire Archer Queen,175,29,12,10,44,32,34,16
2683,Storm Mage Champion,198,15,7,2,2,43,33,20
2684,Holy Mage Legend,57,30,32,5,98,17,13,2
2685,Wind Mage Slayer,86,44,24,7,27,11,31,3
2686,Earth Assassin Prince,117,28,9,13,74,54,5,13
2687,Storm Knight Lord,188,27,29,15,19,32,29,9
2688,Ice Assassin Guardian,90,46,12,10,70,29,33,22
2689,Wind Priest Prince,124,13,16,3,32,30,17,2
2690,Dark Priest King,50,47,9,12,53,51,18,8
2691,Fire Necromancer Master,165,17,13,9,24,19,23,14
2692,Earth Berserker Slayer,113,47,26,9,8,16,17,23
2693,Fire Archer Master,185,45,14,8,8,53,8,12
2694,Ice Archer Prince,104,22,9,17,86,18,11,12
2695,Earth Necromancer Slayer,92,30,12,1,10,48,13,22
2696,Fire Berserker Champion,146,21,16,4,86,15,27,12
2697,Dark Mage Prince,185,32,15,6,20,23,11,18
2698,Holy Berserker Lord,72,34,32,4,7,48,15,5
2699,Storm Ranger Champion,120,36,34,11,70,25,8,18
2700,Dark Paladin Prince,164,34,27,14,80,38,5,17
2701,Earth Paladin Lord,114,15,30,8,69,12,34,3
2702,Ancient Berserker Guardian,52,13,27,9,65,38,32,15
2703,Dark Assassin Queen,137,44,11,11,37,58,28,4
2704,Holy Archer Master,79,19,29,16,31,40,6,19
2705,Ancient Paladin Legend,62,33,23,1,34,55,18,18
2706,Ancient Priest Champion,189,31,35,5,16,43,5,9
2707,Holy Paladin Queen,179,45,19,15,83,23,14,14
2708,Ice Assassin Slayer,147,40,25,19,32,41,30,17
2709,Dark Mage Prince,108,22,10,19,10,32,16,18
2710,Earth Ranger Master,141,38,27,13,59,14,10,11
2711,Ice Mage King,72,45,8,13,16,27,16,12
2712,Dark Berserker Lord,93,30,8,12,86,18,30,5
2713,Earth Paladin Legend,123,16,35,7,68,11,28,13
2714,Earth Paladin Queen,51,16,14,17,46,25,6,9
2715,Light Paladin Prince,97,27,9,11,1,20,5,15
2716,Light Assassin Guardian,84,26,37,15,80,43,15,17
2717,Earth Necromancer Prince,180,29,38,7,99,45,21,4
2718,Light Priest Lord,195,43,19,5,15,11,21,13
2719,Ancient Assassin Legend,108,46,35,18,68,34,15,1
2720,Storm Warrior Prince,162,32,27,12,68,21,13,2
2721,Dark Archer Elite,51,27,7,7,59,36,14,4
2722,Dark Ranger Master,193,14,6,9,6,11,6,19
2723,Light Warrior Master,111,14,35,12,56,27,14,6
2724,Ancient Knight Slayer,95,46,19,17,34,55,29,17
2725,Fire Necromancer Guardian,144,34,23,11,22,18,13,24
2726,Fire Necromancer Elite,181,11,39,10,1,58,34,20
2727,Shadow Ranger Slayer,87,42,9,1,20,44,9,23
